"date","value","topic","variable_short","variable_long","location","unit","origin","update","public","description"
2011-03-14,359,"economy","arrzrh","arrivals_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","wöchentlich","ja","number of arrivals at Zurich Airport"
2011-03-15,356,"economy","arrzrh","arrivals_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","wöchentlich","ja","number of arrivals at Zurich Airport"
2011-03-16,371,"economy","arrzrh","arrivals_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","wöchentlich","ja","number of arrivals at Zurich Airport"
2011-03-17,351,"economy","arrzrh","arrivals_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","wöchentlich","ja","number of arrivals at Zurich Airport"
2011-03-18,365,"economy","arrzrh","arrivals_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","wöchentlich","ja","number of arrivals at Zurich Airport"
2011-03-19,325,"economy","arrzrh","arrivals_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","wöchentlich","ja","number of arrivals at Zurich Airport"
2011-03-20,330,"economy","arrzrh","arrivals_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","wöchentlich","ja","number of arrivals at Zurich Airport"
2011-03-21,363,"economy","arrzrh","arrivals_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","wöchentlich","ja","number of arrivals at Zurich Airport"
2011-03-22,343,"economy","arrzrh","arrivals_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","wöchentlich","ja","number of arrivals at Zurich Airport"
2011-03-23,384,"economy","arrzrh","arrivals_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","wöchentlich","ja","number of arrivals at Zurich Airport"
2011-03-24,351,"economy","arrzrh","arrivals_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","wöchentlich","ja","number of arrivals at Zurich Airport"
2011-03-25,367,"economy","arrzrh","arrivals_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","wöchentlich","ja","number of arrivals at Zurich Airport"
2011-03-26,314,"economy","arrzrh","arrivals_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","wöchentlich","ja","number of arrivals at Zurich Airport"
2011-03-27,355,"economy","arrzrh","arrivals_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","wöchentlich","ja","number of arrivals at Zurich Airport"
2011-03-28,366,"economy","arrzrh","arrivals_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","wöchentlich","ja","number of arrivals at Zurich Airport"
2011-03-29,358,"economy","arrzrh","arrivals_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","wöchentlich","ja","number of arrivals at Zurich Airport"
2011-03-30,384,"economy","arrzrh","arrivals_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","wöchentlich","ja","number of arrivals at Zurich Airport"
2011-03-31,369,"economy","arrzrh","arrivals_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","wöchentlich","ja","number of arrivals at Zurich Airport"
2011-04-01,376,"economy","arrzrh","arrivals_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","wöchentlich","ja","number of arrivals at Zurich Airport"
2011-04-02,323,"economy","arrzrh","arrivals_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","wöchentlich","ja","number of arrivals at Zurich Airport"
2011-04-03,351,"economy","arrzrh","arrivals_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","wöchentlich","ja","number of arrivals at Zurich Airport"
2011-04-04,365,"economy","arrzrh","arrivals_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","wöchentlich","ja","number of arrivals at Zurich Airport"
2011-04-05,366,"economy","arrzrh","arrivals_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","wöchentlich","ja","number of arrivals at Zurich Airport"
2011-04-06,382,"economy","arrzrh","arrivals_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","wöchentlich","ja","number of arrivals at Zurich Airport"
2011-04-07,396,"economy","arrzrh","arrivals_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","wöchentlich","ja","number of arrivals at Zurich Airport"
2011-04-08,375,"economy","arrzrh","arrivals_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","wöchentlich","ja","number of arrivals at Zurich Airport"
2011-04-09,321,"economy","arrzrh","arrivals_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","wöchentlich","ja","number of arrivals at Zurich Airport"
2011-04-10,343,"economy","arrzrh","arrivals_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","wöchentlich","ja","number of arrivals at Zurich Airport"
2011-04-11,372,"economy","arrzrh","arrivals_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","wöchentlich","ja","number of arrivals at Zurich Airport"
2011-04-12,374,"economy","arrzrh","arrivals_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","wöchentlich","ja","number of arrivals at Zurich Airport"
2011-04-13,393,"economy","arrzrh","arrivals_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","wöchentlich","ja","number of arrivals at Zurich Airport"
2011-04-14,378,"economy","arrzrh","arrivals_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","wöchentlich","ja","number of arrivals at Zurich Airport"
2011-04-15,388,"economy","arrzrh","arrivals_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","wöchentlich","ja","number of arrivals at Zurich Airport"
2011-04-16,335,"economy","arrzrh","arrivals_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","wöchentlich","ja","number of arrivals at Zurich Airport"
2011-04-17,369,"economy","arrzrh","arrivals_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","wöchentlich","ja","number of arrivals at Zurich Airport"
2011-04-18,371,"economy","arrzrh","arrivals_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","wöchentlich","ja","number of arrivals at Zurich Airport"
2011-04-19,351,"economy","arrzrh","arrivals_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","wöchentlich","ja","number of arrivals at Zurich Airport"
2011-04-20,385,"economy","arrzrh","arrivals_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","wöchentlich","ja","number of arrivals at Zurich Airport"
2011-04-21,383,"economy","arrzrh","arrivals_zurich_airport","Kanton Zürich","flights","Flughafen Zürich","wöchentlich","ja","number of arrivals at Zurich Airport"
